asset,date,power_output_kw,status,anomaly_flag
Site1_Wind,2026-07-01,1765,NORMAL,0
Site2_Wind,2026-07-01,1802,NORMAL,0
Site3_Solar,2026-07-01,1037,NORMAL,0
Site4_Solar,2026-07-01,1048,NORMAL,0
Site5_Wind,2026-07-01,1629,NORMAL,0
Site1_Wind,2026-07-02,683,CURTAILED,0
Site2_Wind,2026-07-02,1822,NORMAL,0
Site3_Solar,2026-07-02,224,FAULT,1
Site4_Solar,2026-07-02,486,CURTAILED,0
Site5_Wind,2026-07-02,1605,NORMAL,1
Site1_Wind,2026-07-03,1714,NORMAL,0
Site2_Wind,2026-07-03,1898,NORMAL,0
Site3_Solar,2026-07-03,1295,NORMAL,0
Site4_Solar,2026-07-03,1025,NORMAL,0
Site5_Wind,2026-07-03,1623,NORMAL,0
Site1_Wind,2026-07-04,1668,NORMAL,0
Site2_Wind,2026-07-04,1673,NORMAL,0
Site3_Solar,2026-07-04,1292,NORMAL,0
Site4_Solar,2026-07-04,1349,NORMAL,0
Site5_Wind,2026-07-04,1897,NORMAL,0
Site1_Wind,2026-07-05,1696,NORMAL,0
Site2_Wind,2026-07-05,1880,NORMAL,0
Site3_Solar,2026-07-05,515,CURTAILED,0
Site4_Solar,2026-07-05,1105,NORMAL,0
Site5_Wind,2026-07-05,1872,NORMAL,0
Site1_Wind,2026-07-06,1760,NORMAL,0
Site2_Wind,2026-07-06,1832,NORMAL,0
Site3_Solar,2026-07-06,1127,NORMAL,0
Site4_Solar,2026-07-06,1357,NORMAL,0
Site5_Wind,2026-07-06,1641,NORMAL,0
Site1_Wind,2026-07-07,1868,NORMAL,0
Site2_Wind,2026-07-07,1775,NORMAL,0
Site3_Solar,2026-07-07,1147,NORMAL,0
Site4_Solar,2026-07-07,207,FAULT,1
Site5_Wind,2026-07-07,1541,NORMAL,1
Site1_Wind,2026-07-08,1508,NORMAL,1
Site2_Wind,2026-07-08,1850,NORMAL,0
Site3_Solar,2026-07-08,268,FAULT,1
Site4_Solar,2026-07-08,1285,NORMAL,0
Site5_Wind,2026-07-08,1760,NORMAL,0
Site1_Wind,2026-07-09,1779,NORMAL,0
Site2_Wind,2026-07-09,1896,NORMAL,0
Site3_Solar,2026-07-09,1035,NORMAL,0
Site4_Solar,2026-07-09,1138,NORMAL,0
Site5_Wind,2026-07-09,388,FAULT,1
Site1_Wind,2026-07-10,1974,NORMAL,0
Site2_Wind,2026-07-10,1931,NORMAL,0
Site3_Solar,2026-07-10,1348,NORMAL,0
Site4_Solar,2026-07-10,1145,NORMAL,0
Site5_Wind,2026-07-10,1942,NORMAL,0
Site1_Wind,2026-07-11,1836,NORMAL,0
Site2_Wind,2026-07-11,382,FAULT,1
Site3_Solar,2026-07-11,1030,NORMAL,0
Site4_Solar,2026-07-11,974,NORMAL,1
Site5_Wind,2026-07-11,1726,NORMAL,0
Site1_Wind,2026-07-12,370,FAULT,1
Site2_Wind,2026-07-12,1829,NORMAL,0
Site3_Solar,2026-07-12,1142,NORMAL,0
Site4_Solar,2026-07-12,1220,NORMAL,0
Site5_Wind,2026-07-12,1742,NORMAL,0
Site1_Wind,2026-07-13,1783,NORMAL,0
Site2_Wind,2026-07-13,1794,NORMAL,0
Site3_Solar,2026-07-13,215,FAULT,1
Site4_Solar,2026-07-13,1077,NORMAL,0
Site5_Wind,2026-07-13,687,CURTAILED,0
Site1_Wind,2026-07-14,1901,NORMAL,0
Site2_Wind,2026-07-14,697,CURTAILED,0
Site3_Solar,2026-07-14,1214,NORMAL,0
Site4_Solar,2026-07-14,1312,NORMAL,0
Site5_Wind,2026-07-14,1664,NORMAL,0
Site1_Wind,2026-07-15,1863,NORMAL,0
Site2_Wind,2026-07-15,1935,NORMAL,0
Site3_Solar,2026-07-15,1027,NORMAL,0
Site4_Solar,2026-07-15,1399,NORMAL,0
Site5_Wind,2026-07-15,1948,NORMAL,0
Site1_Wind,2026-07-16,1800,NORMAL,0
Site2_Wind,2026-07-16,360,FAULT,1
Site3_Solar,2026-07-16,1324,NORMAL,0
Site4_Solar,2026-07-16,219,FAULT,1
Site5_Wind,2026-07-16,1706,NORMAL,0
Site1_Wind,2026-07-17,1656,NORMAL,0
Site2_Wind,2026-07-17,325,FAULT,1
Site3_Solar,2026-07-17,1096,NORMAL,1
Site4_Solar,2026-07-17,1051,NORMAL,0
Site5_Wind,2026-07-17,765,CURTAILED,0
Site1_Wind,2026-07-18,1706,NORMAL,0
Site2_Wind,2026-07-18,1676,NORMAL,0
Site3_Solar,2026-07-18,1177,NORMAL,0
Site4_Solar,2026-07-18,1055,NORMAL,1
Site5_Wind,2026-07-18,1849,NORMAL,0
Site1_Wind,2026-07-19,1838,NORMAL,0
Site2_Wind,2026-07-19,351,FAULT,1
Site3_Solar,2026-07-19,1052,NORMAL,0
Site4_Solar,2026-07-19,1379,NORMAL,0
Site5_Wind,2026-07-19,1660,NORMAL,1
Site1_Wind,2026-07-20,1611,NORMAL,0
Site2_Wind,2026-07-20,1870,NORMAL,0
Site3_Solar,2026-07-20,1353,NORMAL,0
Site4_Solar,2026-07-20,1013,NORMAL,0
Site5_Wind,2026-07-20,1752,NORMAL,0
